id	name	city	state	country
92	University of Alberta	Edmonton	AB	Canada
108	Macalester College	St. Paul	MN	USA
141	University of Illinois at Chicago	Chicago	IL	USA
195	Rice University	Houston	TX	USA
245	State University of New York at Buffalo	Buffalo	NY	USA
256	Carnegie Mellon University	Pittsburgh	PA	USA
268	Marquette University	Milwaukee	WI	USA
294	Davidson College	Davidson	NC	USA
332	Franklin and Marshall College	Lancaster	PA	USA
519	Eastern Michigan University	Ypsilanti	MI	USA
574	Montana State University	Bozeman	MT	USA
649	Kobe University	Kobe	(null)	Japan
696	Trinity College, Dublin	Dublin	(null)	IRELAND
752	University of Wisconsin at Oshkosh	Oshkosh	WI	USA
937	Siena College	Loudonville	NY	USA
954	John Carroll University	University Heights	OH	USA
1416	University of Tampere	Tampere	(null)	Finland
1430	Saint Olaf College	Northfield	MN	USA
1432	Clemson University	Clemson	SC	USA
1514	Amherst College	Amherst	MA	USA
1956	Centre College	Danville	KY	USA
2326	Widener University	Chestor 	PA	USA
3030	Swiss Foundation for Research in the Social Sciences (FORS)	Neuchatel	(null)	Switzerland
3059	Ajou University	Suwon	Gyeonggi-do	SOUTH KOREA
7286	Hosei University	Tokyo	(null)	Japan
7573	Kyung Hee University	Seoul	(null)	Korea
7694	Seoul National University	Seoul	(null)	Korea
8620	Ithaca College	Ithaca	NY	USA
9326	Dominican University	River Forest	IL	USA
10395	Korea University	Seoul	(null)	South Korea
11188	Economics Education and Research Consortium (EERC)	Moscow	(null)	Russia
11243	Belmont University	Nashville	TN	USA
11280	CUNY Graduate School of Journalism	New York	NY	USA
11327	Ecole Normale Superieure de Lyon	Lyon	(null)	France
11363	University of Mount Union	Alliance	OH	USA
13210	Yamaguchi University	Yamaguchi	(null)	JAPAN
13690	Bureau of Economic Analysis	Washington	DC	USA
13790	Chonbuk National University	Jeonju	(null)	SOUTH KOREA
13837	Roger Williams University	Bristol	RI	USA
14010	Mount Saint Marys University	Emmitsburg	MD	USA
14050	Baekseok Culture University	Cheonan	Chungnam	South Korea
14130	American University of Beirut	Beirut	(null)	LEBANON
14190	Cedarville University	Cedarville 	OH	USA
14470	W.E. Upjohn Institute for Employment Research	Kalamazoo	MI	USA
53	San Diego State University	San Diego	CA	USA
63	Kansas State University	Manhattan	KS	USA
67	Eastern Illinois University	Charleston	IL	USA
71	Washington and Lee University	Lexington	VA	USA
79	University of Central Florida	Orlando	FL	USA
83	University of Connecticut	Storrs	CT	USA
180	Haverford College	Haverford	PA	USA
185	College of William and Mary	Williamsburg	VA	USA
238	Doshisha University	Kyoto	(null)	Japan
273	Vassar College	Poughkeepsie	NY	USA
276	University of Toronto	Toront	ON	Canada
278	University of Colorado at Boulder	Boulder	CO	USA
283	Bowdoin College	Brunswick	ME	USA
288	Xavier University of Louisiana	New Orleans	LA	USA
297	Tufts University	Medford	MA	USA
319	University of Hawaii at Manoa	Honolulu	HI	USA
356	University of Nevada at Las Vegas	Las Vegas	NV	USA
404	University of Northern British Columbia	Prince George, BC	BC	Canada
513	University of Maryland Baltimore County	Baltimore	MD	USA
608	Grand Valley State University	Allendale	MI	USA
614	Richard Stockton College of New Jersey	Pomona	NJ	USA
616	Laval Universite	Ste-Foy	QC	Canada
710	Federal Reserve Bank of Dallas	Dallas	TX	USA
782	South Dakota State University	Brookings	SD	USA
848	Queen's University	Kingston	ON	Canada
877	Susquehanna University	Selinsgrove	PA	USA
917	Case Western Reserve University	Cleveland	OH	USA
936	State University of New York College at Old Westbury	Old Westbury	NY	USA
942	Lake Forest College	Lake Forest	IL	USA
961	University of Colorado at Colorado Springs	Colorado Springs	CO	USA
1630	Niagara University	Niagara University	NY	USA
1683	Tohoku University	Semdai-shi	(null)	Japan
1742	Ryerson University	Toronto	ON	Canada
1972	Pontificia Universidad Catolica de Chile	Santiago	(null)	CHILE
2238	Utrecht University	Utrecht	(null)	The Netherlands
2611	Sookmyung Women's University	Seoul	(null)	Korea
7528	Universita Commerciale L. Bocconi	Milano	(null)	Italy
8603	California Lutheran University	Thousand Oaks	CA	USA
10313	High Point University	High Point	NC	USA
10556	Federal Reserve Bank of Minneapolis	Minneapolis	MN	USA
11189	European Centre for Social Welfare Policy and Research	Vienna	(null)	Austria
11213	Universidad de la Republica	Montevideo	(null)	Uruguay
11	University of Michigan	Ann Arbor	MI	USA
29	California State University, East Bay	Hayward	CA	USA
41	California State University at Los Angeles	Los Angeles	CA	USA
51	California State University at Sacramento	Sacramento	CA	USA
70	University of Windsor	Windsor	ON	Canada
81	Florida Atlantic University	Jupiter	FL	USA
111	GESIS ? Leibniz Institute for the Social Sciences	Koln	(null)	Germany
138	University of North Texas	Denton	TX	USA
139	Wesleyan University	Middletown	CT	USA
222	University of Texas at Dallas	Richardson	TX	USA
226	University of Memphis	Memphis	TN	USA
266	Colgate University	Hamilton	NY	USA
341	Portland State University	Portland	OR	USA
350	Wellesley College	Wellesley	MA	USA
392	North Carolina Central University	Durham	NC	USA
540	Ball State University	Muncie	IN	USA
549	Bucknell University	Lewisburg	PA	USA
583	Gettysburg College	Gettysburg	PA	USA
691	Kent State University	Kent	OH	USA
1026	Mount Holyoke College	South Hadley	MA	USA
1300	Connecticut College	New London	CT	USA
1334	Bradley University	Preoria	IL	USA
1354	Middlebury College	Middlebury	VT	USA
1502	Hendrix College	Conway	AR	USA
1785	Elizabethtown College	Elizabethtown	PA	USA
2161	University of Northern Iowa	Cedar Falls	IA	USA
3043	Rikkyo University	Tokyo	(null)	Japan
3346	Walden University	Minneapolis	MN	USA
7995	National University of Ireland, Galway	Galway	(null)	IRLEAND
8628	Medical College of Wisconsin	Milwaukee	WI	USA
9340	Messiah College	Grantham	PA	USA
10004	Tokyo Metropolitan University	Tokyo	(null)	JAPAN
10379	Hanyang University	Seoul	(null)	South Korea
10878	Whittier College	Whittier	CA	USA
11228	Mount St. Mary's College Los Angeles	Los Angeles	CA	USA
11259	Politieacademie	Apeldoorn	(null)	The Netherlands
11772	Institute for Social Research	Vilnius	(null)	Lithuania
13350	Catholic University of Korea	Bucheon	Gyeonggi-do	KOREA
13370	Dongduk  Womens University	Seoul	(null)	KOREA
14210	Federal Reserve Bank of Richmond	Richmond	VA	USA
14290	Georgia Gwinnett College	Lawrenceville	GA	USA
3	University of Chicago	Chicago	IL	USA
5	Georgetown University	Washington	DC	USA
13	University of Minnesota	Minneapolis	MN	USA
35	Ohio State University	Columbus	OH	USA
48	University of Maryland College Park	College Park	MD	USA
49	California State Polytechnic University at Pomona	Pomona	CA	USA
54	San Francisco State University	San Francisco	CA	USA
55	San Jose State University	San Jose	CA	USA
56	McMaster University	Hamilton	ON	Canada
65	Chicago State University	Chicago	IL	USA
80	Purdue University	West Lafayette	IN	USA
88	Washington State University	Pullman	WA	USA
101	Denison University	Granville	OH	USA
107	University of Wisconsin at Milwaukee	Milwaukee	WI	USA
140	University of Delaware	Newark	DE	USA
146	Stockholm University	Stockholm	(null)	Sweden
205	University of Utah	Salt Lake City	UT	USA
227	Oklahoma State University	Stillwater	OK	USA
246	College of Staten Island	Staten Island	NY	USA
252	University of Wyoming	Laramie	WY	USA
429	Aoyama Gakuin University	Tokyo 150-8366	(null)	Japan
541	Creighton University	Omaha	NE	USA
763	Indiana University-Purdue University at Indianapolis	Indianapolis	IN	USA
1246	University of Minnesota at Morris	Morris	MN	USA
1431	Millsaps College	Jackson	MS	USA
1812	Texas A&M University - Corpus Christi	Corpus Christi	TX	USA
1905	California State University at Fullerton	Fullerton	CA	USA
2015	University of Guelph	Guelph	ON	Canada
2077	Southwestern University	Georgetown	TX	USA
2099	Indiana State University	Terre Haute	IN	USA
2118	Florida A&M University	Tallahassee	FL	USA
