study	code	description
1	XIV.A.3.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, United States
2	XIV.A.3.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, United States
3	I.A.1.a	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1790-1960 Censuses
4	XIII.A.1	Legislative and Deliberative Bodies, Historical and Contemporary Roll Call Voting Records, United States
5	XIV.A.4.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Merged Electoral and Ecological Data, United States
6	XIV.A.3.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, United States
7	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
8	XVII.B	Social Institutions and Behavior, Religion
9	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
10	XIV.A.4.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Merged Electoral and Ecological Data, United States
11	XIV.A.4.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Merged Electoral and Ecological Data, United States
12	I.A.4	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Other Census, Including County and City Data Books
12	XIV.A.4.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Merged Electoral and Ecological Data, United States
13	XIV.A.3.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, United States
14	XVII.B	Social Institutions and Behavior, Religion
15	VIII.B.1	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, United States
16	VIII.B.1	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, United States
17	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
18	I.A.1.b	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1970 Census
19	XIV.A.3.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, United States
