study	name	release_date
1	United States Historical Election Returns, 1824-1968	1984-06-19 00:00:00
2	Candidate Name and Constituency Totals, 1788-1990	1984-06-19 00:00:00
3	Historical, Demographic, Economic, and Social Data:  The United States, 1790-1970	1984-07-06 00:00:00
4	United States Congressional Roll Call Voting Records, 1789-1998	1984-06-29 00:00:00
5	Data Confrontation Seminar, 1969: United States Data	1984-06-20 00:00:00
6	Referenda and Primary Election Materials 	1984-06-19 00:00:00
7	Federal Deposit Insurance Corporation Data on Banks in the United States, 1920-1936	1984-05-11 00:00:00
8	Censuses of Religious Bodies, 1906-1936 	1984-03-18 00:00:00
9	Farm Real Estate Values in the United States, 1850-1959	1984-05-11 00:00:00
10	United States Congressional District Data Books, 1961-1965	1984-06-20 00:00:00
11	United States Congressional District Data Book for the Ninety-Third Congress, 1973	1984-06-20 00:00:00
12	County and City Data Books:  1952, 1956, 1962, 1967   	1984-06-20 00:00:00
13	General Election Data for the United States, 1950-1990	1984-06-19 00:00:00
14	Survey of Churches and Church Membership by County, 1952	1984-03-18 00:00:00
15	Socio-Economic, Public Policy, and Political Data for the United States, 1890-1960	1984-05-03 00:00:00
16	Partisan Division of American State Governments, 1834-1985  	1984-05-03 00:00:00
17	Census of Governments, 1962 and 1967	1984-05-03 00:00:00
18	Census of Population and Housing, 1970 [United States]: Public Use Samples	1984-06-28 00:00:00
19	State-Level Presidential Election Data for the United States, 1824-1972	1984-06-19 00:00:00
20	Demographic Characteristics of the Population of the United States, 1930-1950: County-Level	1984-06-28 00:00:00
21	Michigan Religious Data, 1950 and 1960   	1984-03-18 00:00:00
22	Economic Development and State Policy Data for the United States, 1950-1964	1984-05-03 00:00:00
24	American State Data, 1956-1965   	1984-05-03 00:00:00
25	Comparative Study of Community Decision-Making	1984-03-18 00:00:00
26	Comparative Study of Community Power Research, 1920-1964	1984-03-18 00:00:00
27	Annual Time Series Statistics for the United States, 1929-1968  	1984-05-03 00:00:00
28	Governmental Units Analysis Data	1984-05-03 00:00:00
29	Knights of Labor Assemblies, 1879-1889	1984-05-03 00:00:00
30	Indiana Voter: Nineteenth Century Rural Bases of Partisanship, 1870	1984-06-20 00:00:00
31	Demographic Characteristics of the Population of Detroit, 1850-1880	1984-05-10 00:00:00
32	Nineteenth Century Family History in Michigan: 1850-1880	1984-05-10 00:00:00
33	Miscellaneous Instructional Data Sets, 1912, 1920-1940, 1860-1900	1984-05-04 00:00:00
34	Comparative Socio-Economic, Public Policy, and Political Data,1900-1960	1984-05-03 00:00:00
35	Political Systems Performance Data: France, Sweden, and the United Kingdom, 1850-1965	1984-05-03 00:00:00
36	Political Systems Performance Data: Sweden, 1865-1967  	1984-05-03 00:00:00
37	Prussian Roll Call Data, 1848  	1984-05-03 00:00:00
38	Data Confrontation Seminar, 1969:  Comparative Socio-Political Data 	1984-06-20 00:00:00
39	Canadian Census and Election Data, 1908-1968	1984-06-20 00:00:00
40	Norwegian Ecological Data, 1949-1961	1984-06-20 00:00:00
41	Norwegian Ecological Data, 1868-1903	1984-06-20 00:00:00
