study	subject
1	candidates
1	congressional elections
1	counties
1	election returns
1	elections
1	gubernatorial elections
1	historical data
1	political attitudes
1	political behavior
1	political parties
1	presidential elections
1	senatorial elections
1	states (USA)
2	candidates
2	constituencies
2	elections
2	political attitudes
2	political behavior
2	political parties
3	census data
3	counties
3	demographic characteristics
3	economic conditions
3	eighteenth century
3	families
3	historical data
3	marriage
3	national identity
3	nineteenth century
3	occupations
3	political change
3	population
3	population size
3	religion
3	states (USA)
3	twentieth century
4	eighteenth century
4	historical data
4	legislators
4	nineteenth century
4	political history
4	roll call data
4	roll call voting records
4	twentieth century
4	United States Congress
4	United States House of Representatives
4	United States Senate
4	voting behavior
5	congressional elections
5	demographic characteristics
5	election returns
5	national elections
5	political parties
5	presidential elections
5	state elections
5	voting behavior
6	congressional elections (US House)
6	congressional elections (US Senate)
6	congressional voting
6	constitutional amendments
6	counties
6	election returns
6	gubernatorial elections
6	nineteenth century
6	political history
6	primaries
6	referendum
6	senatorial elections
6	states (USA)
6	twentieth century
6	voting behavior
7	bank deposits
7	banks
7	counties
7	economic history
7	Great Depression (1929)
8	census data
8	church membership
8	counties
8	religion
8	religious denominations
8	religious organizations
8	states(USA)
9	counties
9	farms
9	nineteenth century
9	property values
9	real estate
9	twentieth century
10	census data
10	congressional districts
10	congressional elections
10	demographic characteristics
10	election returns
10	political attitudes
10	political parties
10	population characteristics
10	vote count
10	voter attitudes
10	voting behavior
11	candidates
11	congressional districts
11	congressional elections
11	Democratic Party (USA)
11	election returns
11	ethnicity
11	housing
11	income
11	national elections
11	presidential elections
11	Republican Party (USA)
11	United States Congress
11	United States House of Representatives
11	vote count
11	voters
12	census data
12	cities
12	counties
12	demographic characteristics
12	economic conditions
12	employment
12	government expenditures
12	government revenues
12	household composition
12	human services
12	industrial production
12	labor force
12	municipal services
12	population characteristics
12	states (USA)
12	voting behavior
13	congressional elections
13	election returns
13	elections
13	gubernatorial elections
13	historical data
13	political attitudes
13	political behavior
13	political parties
13	presidential elections
13	voting behavior
14	church membership
14	counties
14	religion
14	religious congregations
14	religious denominations
14	religious organizations
15	economic attitudes and behavior
15	education
15	expenditures
15	government expenditures
15	governmental structures
15	public expenditures
15	public policy-making
15	states
15	voting attitudes and behavior
16	governors
16	legislative bodies
16	legislators
16	nineteenth century
16	political parties
16	political partisanship
16	state government
16	state legislatures
16	states (USA)
16	twentieth century
17	census data
17	counties
17	debt
17	economic conditions
17	employee benefits
17	employment
17	government employees
17	government expenditures
17	government revenues
17	local government
17	municipal services
17	municipalities
17	school districts
17	state government
17	townships
18	census data
18	citizenship
18	demographic characteristics
18	education
18	employment
18	ethnicity
18	families
18	household composition
18	housing
18	housing units
18	housing conditions
18	income
18	occupational status
18	occupations
18	population
18	population characteristics
18	states (USA)
19	candidates
19	election returns
19	elections
19	political attitudes and behavior
19	political parties
19	presidential elections
19	states
20	African Americans
20	birth rates
20	counties
20	demographic characteristics
20	ethnic groups
20	internal migration
20	mortality rates
20	population dynamics
20	population migration
21	church attendance
21	church buildings
21	church membership
21	counties
21	religion
21	religious denominations
22	economic development
22	economic indicators
22	political indicators
22	public policy-making
22	social attitudes and behavior
22	state policies
22	states
24	crime rates
24	crime statistics
24	demographic characteristics
24	earned degrees
24	education
24	enrollments
24	government expenditures
24	government services
24	higher education
24	income
24	infant mortality
24	natural resources
24	population dynamics
24	public assistance programs
24	state government
24	states (USA)
25	cities
25	communities
25	community decision making
25	community elites
25	community leaders
25	community participation
25	leadership
25	local politics
25	municipalities
25	political influence
25	public policy
26	cities
26	communities
26	community decision making
26	community elites
26	community participation
26	community power
26	electoral systems
26	income
26	industrial growth
26	local government
26	local politics
26	minorities
26	political parties
26	population growth rate
26	population size
26	urban areas
27	church membership
27	congressional elections
27	congressional voting
27	consumer expenditures
27	economic indicators
27	demographic statistics
27	federal budget
27	federal elections
27	federal spending
27	government agencies
27	government employees
27	government expenditures
27	government revenues
27	income distribution
27	labor force
27	local government
27	party membership
27	political affiliation
27	political behavior
27	political parties
27	population characteristics
27	presidential elections
27	social history
27	social welfare
27	state government
27	twentieth century
27	unemployment
27	union membership
27	voting behavior
27	United States Congress
28	cities
28	demographic characteristics
28	education
28	elementary school children
28	government expenditures
28	government programs
28	housing
28	housing needs
28	housing programs
28	income
28	labor force
28	local elections
28	local government
28	manufacturing industry
28	migrants
28	Model Cities Programs
28	occupations
28	population characteristics
28	population density
28	poverty
28	public housing
28	slums
28	suburbs
28	unemployment
28	urban areas
28	urban renewal
28	white collar workers
29	industry
29	Knights of Labor
29	labor (work)
29	labor history
29	labor organizers
29	labor strikes
29	labor unions
29	nineteenth century
29	occupations
29	Powderly, Terence V.
29	Stephens, Uriah S.
29	union membership
29	work environment
29	workers
30	census data
30	counties
30	demographic characteristics
30	foreign born
30	males
30	nineteenth century
30	occupations
30	personal wealth
30	place of birth
30	place of residence
30	political affiliation
30	political parties
30	political partisanship
30	religious affiliation
30	rural areas
30	voters
31	census data
31	demographic characteristics
31	ethnicity
31	family
31	family size
